"appid","apptype"
"a01","hookup-datingapp"
"a02","classifiedandescort"
"a03","classifiedandescort"
"a04","hookup-datingapp"
"a05","hookup-datingapp"
"a06","socialnetwork"
"a07","socialnetwork"
"a08","socialnetwork"
"a09","hookup-datingapp"
"a10","socialnetwork"
"a11","hookup-datingapp"
"a12","socialnetwork"
"a13","hookup-datingapp"
"a14","hookup-datingapp"
"a15","hookup-datingapp"
"a16","hookup-datingapp"
"a17","hookup-datingapp"
"a18","hookup-datingapp"
"a19","hookup-datingapp"
"a20","socialnetwork"
"a21","hookup-datingapp"
"a22","hookup-datingapp"
"a23","hookup-datingapp"
"a24","hookup-datingapp"
"a25","socialnetwork"
"a26","hookup-datingapp"
"a27","hookup-datingapp"
"a28","socialnetwork"
"a29","hookup-datingapp"
"a30","socialnetwork"
"a31","socialnetwork"
"a32","hookup-datingapp"
"a33","classifiedandescort"
"a34","hookup-datingapp"
"a35","hookup-datingapp"
"a36","hookup-datingapp"
"a37","hookup-datingapp"
"a38","hookup-datingapp"
"a39","hookup-datingapp"
"a40","socialnetwork"
"a41","hookup-datingapp"
"a42","hookup-datingapp"
"a43","hookup-datingapp"
"a44","hookup-datingapp"
"a45","hookup-datingapp"
"a46","hookup-datingapp"
"a47","hookup-datingapp"
"a48","hookup-datingapp"
"a49","socialnetwork"
"a50","hookup-datingapp"
"a51","socialnetwork"
"a52","hookup-datingapp"
"a53","socialnetwork"
"a54","hookup-datingapp"
"a55","hookup-datingapp"
"a56","hookup-datingapp"
"a57","hookup-datingapp"
"a58","socialnetwork"
"a59","socialnetwork"
"a60","hookup-datingapp"
"a61","hookup-datingapp"
"a62","hookup-datingapp"
"a63","socialnetwork"
