,mean_main,lower_main,upper_main,mean_casual,lower_casual,upper_casual,mean_one-time,lower_one-time,upper_one-time
edges,59.866772749999996,50.084880999999996,69.6486645,84.981481,67.98623875,101.9767235,3.33021421425,2.5898686371250004,4.070559801
concurrent,1.208794,0.2880685,5.0426545,31.429384,21.706443999999998,45.096871500000006,,,
nodefactor.race_ethnicity.blackNH,30.439047011999996,24.086674304,36.791419841,40.5085736,30.933142767999996,50.084004311,1.1243553188175,0.7860284720749999,1.46268216556
nodefactor.race_ethnicity.hispanic,39.383463973,29.174802262,49.592125841,48.289464028000005,33.262058936,63.316869276999995,1.9933710465900003,1.2031505501785,2.783591549046
nodefactor.race_ethnicity.otherNH,7.200210576,0.0,15.146388816,24.797683715999998,5.799967784,43.795399595999996,0.61595946412,0.109266249092,1.1226526811500002
nodefactor.race_ethnicity.whiteNH,43.20443512,29.965995879999998,56.442874530000005,55.64073888,34.186550860000004,77.0949269,2.97385382294,1.8512260228000001,4.09648162308
nodefactor.age.21to29,92.48121359099999,75.011435694,109.950991488,113.921007525,84.638805849,143.203209552,4.079723109462,2.782804676652,5.3766415557855
nodefactor.age.16to20,26.140152783,18.042976498,34.237329068,56.753604277,39.988237219,73.518971335,2.6593389461099997,1.9804375715740001,3.3382403263825
nodematch.race_ethnicity,33.84668105314211,19.523372575013056,51.470713847378605,40.341414840233476,22.067961855569852,63.7086840398817,1.7421252507158034,0.8166155871594076,3.139949199215547
nodematch.race_ethnicity.blackNH,12.674115090200363,8.7722866812814,16.60008530447745,15.144001726910252,10.08252199593342,20.64059696825935,0.39283561581065457,0.2225235199171195,0.5885856254292818
nodematch.race_ethnicity.hispanic,8.974648160716109,4.800085447432789,14.59137147080565,9.04991993039708,4.327980743341468,15.999814809402137,0.4330728895415236,0.1913272335368062,0.7775848697990997
nodematch.race_ethnicity.otherNH,2.0700605406e-10,0.0,8.936369401440001e-10,9.633900123665999e-11,9.598946682519999e-12,3.9853813632359994e-10,0.10783242802809634,0.004142668611972645,0.4376251473477593
nodematch.race_ethnicity.whiteNH,12.197917802018631,5.951000446298869,20.279257071201872,16.147493182829805,7.657459116285367,27.068272261821686,0.8083843173355288,0.3986221650935093,1.336153556639406
nodematch.age,43.313036036346006,29.094415429061932,58.95991475283878,60.74499514303267,38.957164375871685,85.17651505912902,2.428652427990398,1.4096015853447648,3.5472345301220223
nodematch.age.21to29,35.61225539047757,25.14439905588824,46.542875974947805,48.37673891655034,32.4209068954057,64.90832764605585,1.8018735059241549,1.069031514087799,2.5413084184341996
nodematch.age.16to20,7.700780645868438,3.9500163731736917,12.417038777890975,12.368256226482334,6.536257480465984,20.268187413073168,0.626778922066243,0.34057007125696576,1.0059261116878224
nodefactor.init_cas_cat.0,112.870746738,94.389064926,131.352428168,,,,,,
nodefactor.init_cas_cat.1,6.54197119,2.465719512,10.618222951,,,,,,
nodefactor.init_cas_cat.2+,0.45266767,0.0,1.356224485,,,,,,
nodefactor.init_ser_cat.0,,,,164.163096456,130.99500966,197.33118325200002,,,
nodefactor.init_ser_cat.1+,,,,7.429334627999999,2.9079378780000003,11.950731378,,,
nodefactor.init_pers_cat.0,,,,,,,3.4633720716209995,2.530911288598,4.395832843941
nodefactor.init_pers_cat.1,,,,,,,1.9201006967835001,1.0730613996795,2.767139987073
nodefactor.init_pers_cat.2,,,,,,,0.8759222328395,0.18435767577150003,1.5674867899075
nodefactor.init_pers_cat.3+,,,,,,,0.5377966125839999,0.07335100388,1.002242221288
fuzzynodematch.venues_all.TRUE,9.039877297240452,4.935712564172236,15.630632756216192,12.28887623185612,6.477476667140476,21.767135992428894,0.5534015840212101,0.2568004940191705,1.0793569312763234
fuzzynodematch.venues_dating.TRUE,1.5158991249908584,0.5378244242888938,4.076988492525273,5.781390855484984,2.511349384030305,16.12083206662263,0.43085899223446783,0.15541487022347716,1.120524802410124
fuzzynodematch.venues_nondating.TRUE,7.523978172415425,3.8544417881253894,13.832680829155144,6.507485291389654,2.6266601637117923,14.899883519874251,0.12254259178674223,0.04466367540667876,0.3125506968644588
fuzzynodematch.apps_all.TRUE,33.52516985600505,21.69878045564429,49.32699186033843,46.236832278923835,30.181781120688665,66.84281144321662,2.1830336175310543,1.396454172659787,3.1385363502415324
fuzzynodematch.apps_dating.TRUE,24.93418846780374,16.81446164066723,34.96483143635461,39.97596035602582,26.774847789852313,55.924789999107354,2.129590273216486,1.3784713990589605,2.9893502521236868
fuzzynodematch.apps_nondating.TRUE,8.59098138820131,4.884318814977063,14.36216042398382,6.2608719228980085,3.4069333308363525,10.918021444109263,0.053443344314568285,0.01798277360082654,0.149186098117846
